"parkson_urls_link","parkson_urls_date_date","parkson_urls_date_user","parkson_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 28, 2018 1:19 PM","Leesk","Everyone is so pessimistic on Parkson holdings share price, that is why it keep dropping. why not the other ways"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 28, 2018 1:23 PM","parksonnewbie","Not the reason is you lazy to write to Parkson investor relation your proposal? Do you think Parkson managements read your proposals in i3? If true why PRA CEO must resign?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 28, 2018 1:25 PM","Parkson18","Leesk proposals he talked for 2-3 years? He got attend AGM?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 28, 2018 1:26 PM","Parkson18","Even just joined PRA CEO resigned sooner than Leesk proposals ever carried out."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 28, 2018 3:34 PM","newbie5354_","Why nobody ask WC to buy like Hubline boss Richard? How to contact WC? Any1 has WC e-mail or tel?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 28, 2018 3:48 PM","newbie5354_","If WC push up Parkson not he become richer? Why my proposal is bad for him?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 28, 2018 10:11 PM","kennean","Private PRA just need RM 28 mil for S0.04 / shares. CFO too old, resign is OK. PRA loss in exchange reserve was S52Mil, due to investment else SGD go too strong, cant avoid.
This quarter Parkson HK result on Remimbi exchange loss will turn red at 6.88 closing."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 28, 2018 10:27 PM","alam Rafik","parkson Holding now moving smartly now..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Dec 30, 2018 5:43 PM","Why_","Tabung Haji commences sale of underperforming assets to SPV
http://www.theedgemarkets.com/article/tabung-haji-commences-sale-under..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 2, 2019 10:59 AM","Leesk","At what price did tabung haji transfer the Parkson holdings shares to SPV?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 3, 2019 9:08 PM","joetay7",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 3, 2019 9:17 PM","Unfair","Devils joetay7 again make trouble. i3 pls suspend joetay7 and similar ids."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 4, 2019 10:12 AM","Joetay88","Stupid yucai selling cheap? What if WC privatise?"
